method,frame_mean,frame_std,chamfer_distance_mean,chamfer_distance_std,overlap_ratio_mean,overlap_ratio_std,delta_depth_mean,delta_depth_std,convergence_score_mean,convergence_score_std
MASt3R,24.710084033613445,19.420833108872994,2.8285921962321305,0.07857369140503838,0.7954322937842986,0.11343711939581315,0.711185194364115,0.08928447752919444,0.281399085010797,0.04073385932139467
Temporal Fusion (Adaptive),11.5,7.0710678118654755,0.08375215828055992,0.025729394841650724,0.8243232844286207,0.16057154705516152,0.7088143249563691,0.03743395129655971,0.10042624900343755,0.022321827239992008
Temporal Fusion (Fixed),12.79245283018868,7.791411668690177,0.10324805682477457,0.03434802115975157,0.7253707545864585,0.1928474286583477,0.7053294415791983,0.036555695245375434,0.11704090576338208,0.022512344801893888
