Frame,Chamfer_Distance,Overlap_Ratio,Delta_Depth,Convergence_Score
0,0.06693985493193824,0.7885994233369906,1.0945172951839126,0.06693985493193824
1,0.08224947954960021,0.6839744043824231,1.080725846923062,0.07459466724076923
2,0.05716440690064788,0.8257921446543562,1.104876052279398,0.06878458046072877
3,0.15212626839637305,0.4729029890307059,1.1017407298427286,0.08962000244463984
4,0.14098156985283117,0.397556359211816,1.1342663976207692,0.0998923159262781
5,0.07704723056633056,0.7299792180174955,1.146061404858878,0.09608480169962019
6,0.09257442830987478,0.6794484653852914,1.1069214440796247,0.09558331978679943
7,0.08673558038488541,0.7032374382691855,1.1452703635894244,0.09447735236156017
8,0.07863662051581743,0.7968633060022952,1.1682305138264673,0.09271727104536653
9,0.06942193522956455,0.8163152332544915,1.166407583203405,0.09038773746378634
10,0.13025704544806632,0.5017809910068771,1.1054610292794185,0.09401222000781179
11,0.09648492725157831,0.7668772920576437,1.1908030016169031,0.09421827894479233
12,0.10294405780242163,0.701224250168356,1.1931440616733484,0.09488949270307151
13,0.09352096450230518,0.7738331456355804,1.1977427107920946,0.09479174068873106
14,0.09730007093224662,0.806057395466087,1.2042604128480472,0.09495896270496543
15,0.10885445353350942,0.743513225462649,1.1614025525245464,0.09582743088174943
16,0.09227601144556014,0.7951075225837397,1.1736660529840646,0.09561852385609124
17,0.09058401373977405,0.8492556082917528,1.1821622580901663,0.09533882884962916
18,0.09771508397332805,0.8429265480895916,1.19001428773255,0.0954638949087712
19,0.1006552971953388,0.8590174326465927,1.1882281038303604,0.09572346502309959
20,0.08680960895373133,0.9181719453002061,1.1834552917162253,0.095298995686463
