Frame,Chamfer_Distance,Overlap_Ratio,Delta_Depth,Convergence_Score
1,2.8366858959198,0.7506344733980195,0.6520077586174011,0.26461661118740604
2,2.852402925491333,0.678565660967232,0.568276584148407,0.23789255613590826
3,2.8348124027252197,0.6494591630739116,0.5662526488304138,0.22910120378630933
4,2.913663864135742,0.9392421435909348,0.6734489798545837,0.3223576448863603
5,2.8344175815582275,0.6728918919367112,0.7531237602233887,0.23740032481962753
6,2.876204252243042,0.8959273800350226,0.6960678100585938,0.3114963298729544
7,2.8980212211608887,0.8709211195140671,0.7372612953186035,0.3005225816264424
8,2.8773744106292725,0.9523377941310766,0.7440155148506165,0.3309744674306518
9,2.8815858364105225,0.670312461758059,0.7305634021759033,0.23261921288932608
10,2.90639066696167,0.809005471997162,0.7360316514968872,0.27835390570153024
11,3.023358106613159,0.7853727124853302,0.576933741569519,0.2597682527250704
12,2.9441916942596436,0.6278014127459612,0.5501970648765564,0.21323380564390343
13,3.0372955799102783,0.7926833889842336,0.5351902842521667,0.26098320270312536
14,3.066876173019409,0.9565854294820614,0.49670010805130005,0.3119086208921375
15,3.100240707397461,0.9537008018349231,0.5313420295715332,0.3076214346640475
16,2.8478548526763916,0.6967579243673199,0.8295432925224304,0.24466053073315225
17,2.8367040157318115,0.8598880006282318,0.6625965237617493,0.303129157194513
18,2.7605535984039307,0.9345128787242748,0.6856579780578613,0.33852359930304654
19,2.783376693725586,0.7341187699157683,0.7382555603981018,0.26375104304767966
20,2.8093631267547607,0.6339578461835925,0.6650417447090149,0.22565883864827072
21,2.8365581035614014,0.7263555100773859,0.6407899260520935,0.2560692316142542
22,2.852268695831299,0.7032679140602689,0.6528998017311096,0.24656431160353517
23,2.8699426651000977,0.8445855603946045,0.6368089914321899,0.29428645957938937
24,2.8524932861328125,0.6220964931406086,0.6181564331054688,0.21808860272389818
25,2.832493305206299,0.9045293074594167,0.6401281356811523,0.3193402033666356
26,2.7977294921875,0.7329747774553868,0.6858736276626587,0.26198905845369175
27,2.837925672531128,0.7450490005231087,0.6687460541725159,0.26253285813710064
28,2.867962598800659,0.6838452154296826,0.6582880020141602,0.2384427806948654
29,2.855976104736328,0.8846244064507722,0.6519391536712646,0.3097449223187814
30,2.8589892387390137,0.6455409691729735,0.573246419429779,0.22579334494604494
31,2.9750306606292725,0.9212516321241562,0.5147147178649902,0.3096611186750513
1,2.735734224319458,0.6184971939518311,0.7384685277938843,0.22608079482753618
2,2.8290793895721436,0.6664575889410613,0.6372796297073364,0.23557393116066705
3,2.746673107147217,0.9862822224931724,0.7673531174659729,0.35908236070916927
1,2.819683790206909,0.6342343265644023,0.8062371611595154,0.22493093155914848
2,2.7648253440856934,0.8129736951720165,0.8050126433372498,0.2940415035147028
3,2.6893203258514404,0.9146358069724805,0.9254909157752991,0.340099116524466
4,2.697941541671753,0.6468054707637457,0.8969036340713501,0.23974026902847204
5,2.7042956352233887,0.668770695608054,0.8766071796417236,0.2472993113615327
6,2.9577033519744873,0.6013524629526387,0.5808320641517639,0.20331729996988754
7,2.875126838684082,0.6309354898488423,0.6170957684516907,0.21944606474876446
8,2.768627882003784,0.9211713955274468,0.7611070275306702,0.33271754170994294
9,2.741044044494629,0.9754138189742911,0.8223041296005249,0.3558547207873885
10,2.822766065597534,0.6200122116711141,0.7377723455429077,0.21964696245308768
11,2.815086841583252,0.6341263162324962,0.8228006958961487,0.22525986822345587
12,2.8919973373413086,0.9933183038252177,0.6239893436431885,0.3434712568812891
13,2.762413263320923,0.9297862161001735,0.895622730255127,0.3365846420813082
14,2.94168758392334,0.9478090986986195,0.9064098596572876,0.322198992741279
15,2.929391860961914,0.9797683409543525,0.8336849212646484,0.33446123052018006
16,2.8128600120544434,0.7396752323171907,0.774469256401062,0.2629618844113987
17,2.8509738445281982,0.7369047966628439,0.7081987857818604,0.2584746751018046
18,2.824904441833496,0.6818034974241065,0.7677278518676758,0.2413544493657756
19,2.8052573204040527,0.8742701094554344,0.7133241295814514,0.31165404736399094
20,2.739213228225708,0.6604861515243697,0.8009121417999268,0.2411224886022118
21,2.8217430114746094,0.6525361166430188,0.713741660118103,0.2312527692056698
22,2.8080058097839355,0.7489129520744502,0.7417371273040771,0.26670624496529477
23,2.7942776679992676,0.9685885955513107,0.8173980712890625,0.34663278456934654
24,2.83571720123291,0.7828565352008985,0.7229196429252625,0.2760699334865252
25,2.8292078971862793,0.8317314425262458,0.7747626304626465,0.2939802159371915
26,2.8207998275756836,0.8216008720321767,0.7554478645324707,0.2912651130843206
27,2.8685050010681152,0.8633832176369287,0.7116438150405884,0.30098707038278455
28,2.7544474601745605,0.7116749565636519,0.7108389139175415,0.25837294356872814
29,2.732790946960449,0.7960867950580729,0.9052472114562988,0.29130896552279484
30,2.8420143127441406,0.8959342295300536,0.7942842245101929,0.3152460950905201
31,2.843278646469116,0.7056847749303077,0.7366852760314941,0.2481939389277631
32,2.779047966003418,0.9720953059703461,0.853273868560791,0.3497942345968547
33,2.7576606273651123,0.6262138612474891,0.8777838945388794,0.2270814718649232
34,2.820444345474243,0.7240970699034202,0.7929816842079163,0.2567314665626563
35,2.7490482330322266,0.754832576642868,0.8719589710235596,0.2745795046421488
36,2.7648584842681885,0.9064858020049342,0.8215453624725342,0.3278596280074123
37,2.8122329711914062,0.8834535659143086,0.7591603994369507,0.31414653793547354
38,2.874939441680908,0.8352427929952718,0.7804842591285706,0.2905252508489969
39,2.776838541030884,0.8023095528186939,0.9012404084205627,0.2889290291944062
40,2.737743854522705,0.6797478750064702,0.8473132252693176,0.24828751805835336
41,2.773008346557617,0.764073731051457,0.7947849631309509,0.27553954406968356
42,2.7932016849517822,0.8733592611041823,0.7361018061637878,0.3126730708835971
43,2.7542173862457275,0.972136116900689,0.8559244275093079,0.35296261246218996
44,2.776015281677246,0.7225312683284453,0.7935213446617126,0.26027630785072264
45,2.776073932647705,0.7071309647720209,0.7598649263381958,0.25472329887637024
46,2.732412815093994,0.8531429116380643,0.8458654880523682,0.3122304926601011
47,2.9369027614593506,0.7091821869578657,0.7032403945922852,0.241472736105412
48,3.02645206451416,0.7126510458828923,0.5680399537086487,0.2354740122154496
1,2.8785150051116943,0.7481574917312118,0.6740520000457764,0.2599108326660776
2,2.8425381183624268,0.9065946580390007,0.6390904188156128,0.31893832249572895
3,2.8883109092712402,0.7525071644058687,0.697770357131958,0.2605352842919712
4,2.9908268451690674,0.778651345035378,0.6684494614601135,0.2603464275929803
5,2.9590113162994385,0.6964502496171983,0.7138764262199402,0.23536578262309626
6,3.006378173828125,0.75527122727781,0.8175267577171326,0.25122287762394835
7,2.9247210025787354,0.7353839819979568,0.7830241322517395,0.25143722423860004
8,2.786299228668213,0.8647658854118228,0.7788735032081604,0.31036349798713575
9,2.838794708251953,0.8885532089764179,0.7507810592651367,0.3130035762677557
10,2.8345441818237305,0.8881318778327787,0.7539224028587341,0.3133242975020633
11,2.828937292098999,0.8530837441374766,0.7623822689056396,0.30155615147918635
12,2.812312126159668,0.663341174921023,0.7348335385322571,0.23587031214651522
13,2.811796188354492,0.9546719120492076,0.6927084922790527,0.33952374517021855
14,2.8456289768218994,0.8564422242578114,0.6996750235557556,0.3009675295922755
15,2.944493532180786,0.7925560052234971,0.6651260852813721,0.26916538528482337
16,2.9425182342529297,0.8762844605599185,0.6753825545310974,0.2978007587374009
17,2.935436725616455,0.9040167347965269,0.6988035440444946,0.3079665860077748
18,2.8974151611328125,0.6030184606824998,0.7316539883613586,0.20812283329252074
19,2.8799924850463867,0.7601712643348788,0.7541597485542297,0.2639489527604383
20,2.9968643188476562,0.7443770775306445,0.6354150772094727,0.24838522867516438
21,2.9357473850250244,0.7412396408814651,0.778414249420166,0.25248745589453736
22,3.0459177494049072,0.6013244242825121,0.6179227232933044,0.19741971922264673
